phrase,en,pronunciation,id
的,Of,de,0
是,yes,shì,1
在,stay,zài,2
一,one,yī,3
不,no,bù,4
有,yes,yǒu,5
这,this,zhè,6
个,individual,gè,7
上,upper,shàng,8
也,also,yě,9
他,he,tā,10
人,people,rén,11
就,Just,jiù,12
对,yes,duì,13
说,say,shuō,14
我,I,wǒ,15
要,want,yào,16
到,reach,dào,17
大,large,dà,18
我们,We,wǒ men,19
多,many,duō,20
把,hold,bǎ,21
来,come,lái,22
等,etc.,děng,23
年,year,nián,24
两,two,liǎng,25
从,from,cóng,26
而,and,ér,27
能,can,néng,28
又,also,yòu,29
他们,they,tā men,30
以,with,yǐ,31
时,Time,shí,32
没有,"No,",méi yǒu,33
会,meeting,huì,34
之,of,zhī,35
但,but,dàn,36
三,three,sān,37
被,cover,bèi,38
很,very,hěn,39
下,lower,xià,40
自己,own,zì jǐ,41
后,after,hòu,42
中国,China,zhōng guó,43
并,and,bìng,44
使,send,shǐ,45
向,towards,xiàng,46
已,already,yǐ,47
出,Out,chū,48
用,use,yòng,49
新,new,xīn,50
所,place,suǒ,51
里,in,lǐ,52
给,to,gěi,53
她,she,tā,54
更,more,gèng,55
次,second,cì,56
最,most,zuì,57
述,Narration,shù,58
可以,sure,kě yǐ,59
可,can,kě,60
去,go,qù,61
由,from,yóu,62
问题,problem,wèn tí,63
小,Small,xiǎo,64
工作,work,gōng zuò,65
让,Give Way,ràng,66
其,his,qí,67
你,you,nǐ,68
这个,this,zhè ge,69
生活,life,shēng huó,70
起,rise,qǐ,71
这样,such,zhè yàng,72
天,day,tiān,73
它,it,tā,74
高,high,gāo,75
做,do,zuò,76
家,home,jiā,77
已经,already,yǐ jing,78
再,again,zài,79
或,or,huò,80
才,just,cái,81
前,front,qián,82
走,go,zǒu,83
这些,these,zhè xiē,84
一些,some,yī xiē,85
却,but,què,86
二,two,èr,87
条,strip,tiáo,88
位,position,wèi,89
起来,get up,qǐ lái,90
各,various,gè,91
成,become,chéng,92
什么,what,shén me,93
兀,Wu,wù,94
现在,Now?,xiàn zài,95
社会,Sociology,shè huì,96
比,than,bǐ,97
同,with,tóng,98
四,four,sì,99
关系,relationship,guān xì,100
名,name,míng,101
想,Think about it,xiǎng,102
如,as,rú,103
第一,first,dì yī,104
因为,because,yīn wèi,105
该,The,gāi,106
开始,start,kāi shǐ,107
许多,many,xǔ duō,108
内,within,nèi,109
时间,time,shí jiān,110
人们,people,rén men,111
今天,today,jīn tiān,112
国家,country,guó jiā,113
本,book,běn,114
点,spot,diǎn,115
思想,thought,sī xiǎng,116
至,to,zhì,117
此,this,cǐ,118
一定,certain,yī dìng,119
如果,If,rú guǒ,120
副,Vice-,fù,121
无,nothing,wú,122
张,Zhang,zhāng,123
同时,meanwhile,tóng shí,124
需要,need,xū yào,125
月,month,yuè,126
则,be,zé,127
重要,important,zhòng yào,128
为了,in order to,wèi le,129
日,day,rì,130
老,old,lǎo,131
就是,namely,jiù shì,132
作,do,zuò,133
五,five,wǔ,134
人民,the people,rén mín,135
事,matter,shì,136
认为,think,rèn wéi,137
成为,become,chéng wéi,138
像,image,xiàng,139
北京,Beijing,běi jīng,140
历史,history,lì shǐ,141
水,water,shuǐ,142
方面,aspect,fāng miàn,143
情况,situation,qíng kuàng,144
而且,and,ér qiě,145
党,party,dǎng,146
学生,student,xué shēng,147
每,each,měi,148
这里,here,zhè lǐ,149
但是,however,dàn shì,150
孩子,children,hái zǐ,151
可能,probably,kě néng,152
发生,happen,fā shēng,153
必须,must,bì xū,154
只有,only,zhǐ yǒu,155
外,Outside,wài,156
要求,requirement,yāo qiú,157
全,whole,quán,158
发现,find,fā xiàn,159
进行,conduct,jìn xíng,160
特别,especially,tè bié,161
因,because,yīn,162
岁,year,suì,163
得到,obtain,dé dào,164
件,piece,jiàn,165
文化,Culture,wén huà,166
分,branch,fēn,167
