phrase,en,pronunciation,id
桑园,Mulberry garden,sāng yuán,0
色相,Hue,sè xiàng,1
上脸,smug,shàng liǎn,2
尚方宝剑,imperial sword,shàng fāng bǎo jiàn,3
神女,goddess,shén nv3,4
事倍功半,get half the results with double the effort,shì bèi gōng bàn,5
守节,Observe the festival,shǒu jié,6
兽性,Brutality,shòu xìng,7
水货,Smuggled goods,shuǐ huò,8
听凭,Let it be,tīng píng,9
通途,Thoroughfare,tōng tú,10
头脸,head and face,tóu liǎn,11
头面人物,protagonist,tóu miàn rén wù,12
顽抗,Tenacious resistance,wán kàng,13
万紫千红,a riot of colour,wàn zǐ qiān hóng,14
威士忌,Whisky,wēi shì jì,15
五帝,Five Emperors,wǔ dì,16
武生,Wu Sheng,wǔ shēng,17
误工,Delay in work,wù gōng,18
误伤,Accidental injury,wù shāng,19
稀稀拉拉,Rarity,xī xi lā lā,20
下浮,float downward,xià fú,21
下书,Next book,xià shū,22
小巧玲珑,small and exquisite,xiǎo qiǎo líng lóng,23
秀色,Beauty,xiù sè,24
恤衫,shirt,xù shān,25
蚜虫,aphid,yá chóng,26
盐类,salt,yán lèi,27
一拍即合,fit in easily with,yī pāi jí hé,28
引退,Retiring,yǐn tuì,29
圆锥,cone,yuán zhuī,30
杂色,Variegated,zá sè,31
脏乱,dirty and messy,zāng luàn,32
长兄,eldest brother,cháng xiōng,33
政务院,Government Affairs Council,zhèng wù yuàn,34
自毁,Self destruction,zì huǐ,35
走火,Go off fire,zǒu huǒ,36
偈,Gatha,jì,37
跋山涉水,travel over land and water,bá shān shè shuǐ,38
悲痛欲绝,wring one &apos;s heart to the very core,bēi tòng yù jué,39
北齐,The Northern Qi Dynasty,běi qí,40
奔丧,Mourning,bēn sāng,41
布施,Giving,bù shī,42
布依族,Buyi Nationality,bù yī zú,43
拆散,Break up,chāi sàn,44
超采,Overdraft,chāo cǎi,45
称奇,Call it strange,chēng qí,46
愁闷,Melancholy,chóu mèn,47
出险,be in danger,chū xiǎn,48
吹风,Blow,chuī fēng,49
纯利,Net profit,chún lì,50
磁石,Magnetite,cí shí,51
错失,Miss,cuò shī,52
大气候,General climate,dà qì hòu,53
大器,Large vessels,dà qì,54
大前提,Premise,dà qián tí,55
刀叉,knife and fork,dāo chā,56
等闲,Leisurely,děng xián,57
对角线,diagonal,duì jiǎo xiàn,58
