phrase,en,pronunciation,id
漏电,electric leakage,lòu diàn,0
路轨,Track,lù guǐ,1
漉,Wet,lù,2
卖关子,Sell the story,mài guān zǐ,3
满腹经纶,full of learning,mǎn fù jīng lún,4
绵密,Mianmi,mián mì,5
面筋,gluten,miàn jīn,6
民族自决权,The right of national self determination,mín zú zì jué quán,7
木屐,Clogs,mù jī,8
闹笑话,Make a joke,nào xiào huà,9
逆水,Upstream,nì shuǐ,10
排头,Platoon leader,pái tóu,11
牌局,Card game,pái jú,12
判案,Verdict,pàn àn,13
胖墩儿,Chubby,pàng dūn er,14
配伍,Compatibility,pèi wǔ,15
批办,Approval,pī bàn,16
骈文,rhythmical prose characterized by parallelism and ornateness,pián wén,17
嫔妃,concubines,pín fēi,18
漆黑一团,pitch-dark,qī hēi yī tuán,19
齐步走,Walking in unison,qí bù zǒu,20
祈望,Pray for,qí wàng,21
强心剂,Cardiotonic,qiáng xīn jì,22
窃国,Steal the country,qiè guó,23
琴师,Zither player,qín shī,24
情夫,Lover,qíng fū,25
情郎,lover,qíng láng,26
求贤若渴,thirst after talents,qiú xián ruò kě,27
曲径通幽,the winding path leads to a secluded quiet place,qū jìng tōng yōu,28
僧徒,Monk,sēng tú,29
沙丁鱼,Sardine,shā dīng yú,30
伤悲,sorrowful,shāng bēi,31
伤神,It hurts,shāng shén,32
身架,Body frame,shēn jià,33
神怪,Genie,shén guài,34
生冷,raw or cold,shēng lěng,35
声名狼藉,Infamous,shēng míng láng jí,36
声腔,Vocal cavity,shēng qiāng,37
笙歌,Sheng song,shēng gē,38
石臼,stone mortar,shí jiù,39
实职,Real job,shí zhí,40
拾取,pickup,shí qǔ,41
史话,story,shǐ huà,42
示爱,Show love,shì ài,43
事功,Meritorious service,shì gōng,44
熟路,Familiar road,shú lù,45
属相,Zodiac,shǔ xiang,46
顺手牵羊,picking up something in passing,shùn shǒu qiān yáng,47
燧石,Flint,suì shí,48
索还,seek return,suǒ hái,49
台基,Taiji,tái jī,50
太空船,spacecraft,tài kōng chuán,51
谈锋,Talk,tán fēng,52
坦白从宽,Leniency for Confessions,tǎn bái cóng kuān,53
绦虫,Tapeworm,tāo chóng,54
套套,Condom,tào tào,55
调节税,Adjustment tax,tiáo jié shuì,56
挑拨离间,alienate one person from another,tiǎo bō lí jiàn,57
听其自然,leave along,tīng qí zì rán,58
停航,Suspension of navigation,tíng háng,59
偷越,Sneak across,tōu yuè,60
投拍,begin shooting,tóu pāi,61
吞云吐雾,smoke opium,tūn yún tǔ wù,62
外借,borrow from,wài jiè,63
晚育,late childbirth,wǎn yù,64
温煦,Warm and warm,wēn xù,65
稀有金属,Rare metals,xī yǒu jīn shǔ,66
溪涧,Stream,xī jiàn,67
洗煤,Coal washing,xǐ méi,68
喜乐,happy,xǐ lè,69
喜信,happy news,xǐ xìn,70
闲逸,Leisure,xián yì,71
贤臣,A worthy minister,xián chén,72
弦歌,String song,xián gē,73
向隅,Xiangyu,xiàng yú,74
小户人家,impoverished family,xiǎo hù rén jiā,75
小账,Small account,xiǎo zhàng,76
小卒,Pawn,xiǎo zú,77
斜线,Diagonal line,xié xiàn,78
薪资,salary,xīn zī,79
信史,Faith history,xìn shǐ,80
星团,cluster,xīng tuán,81
行李卷儿,bedding pack,xíng li juǎn er,82
行商,Business,xíng shāng,83
杏黄,Apricot yellow,xìng huáng,84
胸片,Chest radiograph,xiōng piàn,85
虚情假意,false display of affection,xū qíng jiǎ yì,86
雪梨,snow pear,xuě lí,87
血友病,hemophilia,xuè yǒu bìng,88
扬旗,Raise the flag,yáng qí,89
扬琴,dulcimer,yáng qín,90
羊水,amniotic fluid,yáng shuǐ,91
腰刀,Waist knife,yāo dāo,92
耀目,dazzle,yào mù,93
一扫而空,sweep away,yī sǎo ér kōng,94
倚赖,Rely on,yǐ lài,95
印花布,Calico,yìn huā bù,96
佣工,servants,yōng gōng,97
勇悍,brave and fierce,yǒng hàn,98
游侠,Ranger,yóu xiá,99
瑜伽,yoga,yú jiā,100
瑜珈,Yoga,yú jiā,101
殒命,Death,yǔn mìng,102
运笔,Run the pen,yùn bǐ,103
贼胆,Thief&apos;s gall,zéi dǎn,104
站柜台,Station counter,zhàn guì tái,105
征候,Symptoms,zhēng hòu,106
正极,positive electrode,zhèng jí,107
指靠,To rely on,zhǐ kào,108
舟车,Boat,zhōu chē,109
洲际导弹,intercontinental missile,zhōu jì dǎo dàn,110
专科生,Junior college students,zhuān kē shēng,111
转运站,Transfer station,zhuǎn yùn zhàn,112
自忖,Think to yourself,zì cǔn,113
自许,claim to be,zì xǔ,114
走钢丝,Wire-walking,zǒu gāng sī,115
作乐,Have fun,zuò yuè,116
摆列,Arrange,bǎi liè,117
绑扎,Binding,bǎng zā,118
棒子面,Noodles with sticks,bàng zǐ miàn,119
报修,Report for repair,bào xiū,120
卑污,Despicable,bēi wū,121
被套,Quilt cover,bèi tào,122
进射,Entry,jìn shè,123
边门,side door,biān mén,124
编舞,Choreographer,biān wǔ,125
扁圆,Oblate circle,biǎn yuán,126
表亲,Cousins,biǎo qīn,127
冰糖葫芦,candied gourd on a stick,bīng táng hú lu,128
跛脚,Lameness,bǒ jiǎo,129
参禅,Meditation,cān chán,130
苍松,green pines,cāng sōng,131
藏污纳垢,shelter evil people and countenance evil practices,cáng wū nà gòu,132
草野,Grass field,cǎo yě,133
产儿,Childbirth,chǎn ér,134
产婆,midwife,chǎn pó,135
抄近儿,A short cut,chāo jìn er,136
车把式,Handlebar type,chē bǎ shì,137
车况,car condition,chē kuàng,138
车前子,Cheqianzi,chē qián zǐ,139
彻悟,fully recognize the truth,chè wù,140
陈请,petition,chén qǐng,141
呈样,Sample presentation,chéng yàng,142
秤杆,weighbeam,chèng gǎn,143
持械,"armed ",chí xiè,144
虫蛀,Wormhole,chóng zhù,145
出洋相,Make a fool of yourself,chū yáng xiàng,146
初小,Junior high school,chū xiǎo,147
串珠,String beads,chuàn zhū,148
此致,Sincerely,cǐ zhì,149
打滑,Skidding,dǎ huá,150
大腹便便,potbellied,dà fù pián pián,151
大实话,"truth ",dà shí huà,152
叨咕,Murmur,dáo gu,153
盗墓,Tomb robbery,dào mù,154
地方税,local tax,dì fāng shuì,155
电声,Electroacoustics,diàn shēng,156
冬虫夏草,Cordyceps sinensis,dōng chóng xià cǎo,157
独门,Unique,dú mén,158
断路,Open circuit,duàn lù,159
翻供,withdraw a confession,fān gòng,160
飞沙走石,flying sand and rolling pebbles,fēi shā zǒu shí,161
风景点,Scenic spots,fēng jǐng diǎn,162
辐射能,radiant energy,fú shè néng,163
附上,enclosed,fù shàng,164
副手,a deputy,fù shǒu,165
高粱米,Sorghum rice,gāo liáng mǐ,166
高山仰止,greatly,gāo shān yǎng zhǐ,167
高士,Gao Shi,gāo shì,168
告病,Report illness,gào bìng,169
嗝儿,belch,gé er,170
工作餐,Working meal,gōng zuò cān,171
恭谨,Respectfully,gōng jǐn,172
骨盆,pelvis,gǔ pén,173
鼓槌,Drumstick,gǔ chuí,174
挂齿,Missing teeth,guà chǐ,175
关张,Shut down,guān zhāng,176
观览,View,guān lǎn,177
管饭,include board,guǎn fàn,178
哈腰,Harrowing,hā yāo,179
喊冤,cry out a grievance,hǎn yuān,180
呵叱,Chide,hē chì,181
合子,Zygote,hé zi,182
和数,sum,hé shù,183
核电厂,Nuclear power plant,hé diàn chǎng,184
盒带,cassette tape,hé dài,185
后发制人,gain mastery by striking only after the enemy has struck,hòu fā zhì rén,186
后手,Backhand,hòu shǒu,187
狐朋狗友,evil associates,hú péng gǒu yǒu,188
滑竿,Slider,huá gān,189
环海,be surrounded by sea,huán hǎi,190
缓兵之计,a plot to gain time in order to complete defense,huǎn bīng zhī jì,191
黄雀,Yellow Finch,huáng què,192
昏头昏脑,addlebrained,hūn tóu hūn nǎo,193
混事,Mess up,hùn shì,194
