phrase,en,pronunciation,id
恒星,fixed star,héng xīng,0
变异,variation,biàn yì,1
脂肪,Fat,zhī fáng,2
病床,hospital bed,bìng chuáng,3
步子,Step,bù zǐ,4
财税,finance and tax,cái shuì,5
伤感,sentimental,shāng gǎn,6
蹄,Hoof,tí,7
甜蜜,Sweet,tián mì,8
虚伪,FALSE,xū wěi,9
朝,towards,zhāo,10
政治体制,Political system,zhèng zhì tǐ zhì,11
攥,Hold on,zuàn,12
侧重,Focus on,cè zhòng,13
鼎,Tripod,dǐng,14
废旧,waste,fèi jiù,15
母女,mother and daughter,mǔ nv3,16
瓶子,bottle,píng zǐ,17
牲口,Cattle,shēng kǒu,18
长寿,longevity,cháng shòu,19
腻,Greasy,nì,20
有功,meritorious,yǒu gōng,21
本性,nature,běn xìng,22
错过,miss,cuò guò,23
大路,main road,dà lù,24
个性化,individualization,gè xìng huà,25
供热,Heating,gòng rè,26
矿区,mining area,kuàng qū,27
谋取,seek,móu qǔ,28
陕,Shaanxi,shǎn,29
以南,to the south of,yǐ nán,30
银牌,Silver medal,yín pái,31
斋,Zhai,zhāi,32
憧憬,Looking forward to,chōng jǐng,33
创意,originality,chuàng yì,34
腹地,hinterland,fù dì,35
抉择,choice,jué zé,36
抿,Sipping,mǐn,37
牧区,Pastoral area,mù qū,38
慌乱,Panic,huāng luàn,39
鞠躬,Bow,jū gōng,40
开庭,to hold court,kāi tíng,41
慢性,chronic,màn xìng,42
省会,provincial capital,shěng huì,43
圣地,Sanctum,shèng dì,44
荧屏,screen,yíng píng,45
图形,graphical,tú xíng,46
大关,the highest level,dà guān,47
异地,Off site,yì dì,48
有余,More than enough,yǒu yú,49
回信,Reply,huí xìn,50
晋级,Promotion,jìn jí,51
爽,Cool,shuǎng,52
尺寸,size,chǐ cun,53
飞翔,flight,fēi xiáng,54
好友,Friends,hǎo yǒu,55
愚蠢,stupid,yú chǔn,56
预见,foresee,yù jiàn,57
力学,Dynamics,lì xué,58
安居乐业,live and work in peace,ān jū lè yè,59
出名,famous,chū míng,60
符,symbol,fú,61
攻势,offensive,gōng shì,62
激活,activation,jī huó,63
辽阔,vast,liáo kuò,64
没错,you &apos;re right,méi cuò,65
探亲,visit family,tàn qīn,66
吟,Chant,yín,67
贡,Tribute,gòng,68
交接,Handover,jiāo jiē,69
听话,be good,tīng huà,70
严寒,severe cold,yán hán,71
夜色,the dim light of night,yè sè,72
科目,subject,kē mù,73
吭,To utter,kēng,74
中途,halfway,zhōng tú,75
自私,selfish,zì sī,76
叭,Bravo,bā,77
饥,Hunger,jī,78
埋头,Buried in,mái tóu,79
型号,model,xíng hào,80
噪音,noise,zào yīn,81
照耀,Shine,zhào yào,82
手艺,craft,shǒu yì,83
以北,to the north of,yǐ běi,84
海滩,beach,hǎi tān,85
看中,to fancy,kàn zhòng,86
求得,Get,qiú dé,87
上层建筑,Superstructure,shàng céng jiàn zhù,88
胸口,the middle of the chest,xiōng kǒu,89
烟雾,smoke,yān wù,90
之首,Top of the list,zhī shǒu,91
害虫,pest,hài chóng,92
兑,Exchange,duì,93
该死,damn,gāi sǐ,94
坎坷,rough,kǎn kě,95
课题组,research group,kè tí zǔ,96
凝固,freezing,níng gù,97
腥,Fishy,xīng,98
种苗,Seedling,zhǒng miáo,99
蠹,Bark beetle,dù,100
防务,defense,fáng wù,101
飞扬,Flying,fēi yáng,102
分头,Split up,fēn tóu,103
下巴,chin,xià bā,104
低价,low price,dī jià,105
积雪,accumulated snow,jī xuě,106
缴费,pay,jiǎo fèi,107
离家,be away from home,lí jiā,108
农历,lunar calendar,nóng lì,109
摘要,abstract,zhāi yào,110
学派,school,xué pài,111
标签,label,biāo qiān,112
长年,Long years,cháng nián,113
拘,Arrest,jū,114
美容,cosmetology,měi róng,115
享年,Enjoy one&apos;s life,xiǎng nián,116
资讯,real-time info,zī xùn,117
惊动,Alarm,jīng dòng,118
举重,Weightlifting,jǔ zhòng,119
开枪,shoot,kāi qiāng,120
脉络,context,mài luò,121
上层,upper strata,shàng céng,122
外观,appearance,wài guān,123
新奇,novel,xīn qí,124
摇篮,cradle,yáo lán,125
匆忙,hastily,cōng máng,126
对联,Couplet,duì lián,127
乖,Good,guāi,128
皇家,The royal family,huáng jiā,129
梦见,dream about,mèng jiàn,130
祈祷,pray,qí dǎo,131
热衷,Enthusiasm,rè zhōng,132
圣人,sage,shèng rén,133
纵然,Even though,zòng rán,134
服用,take,fú yòng,135
改名,Renaming,gǎi míng,136
接口,Interface,jiē kǒu,137
劳动密集型,labour-intensive,láo dòng mì jí xíng,138
笑嘻嘻,Smile,xiào xī xī,139
直观,visual,zhí guān,140
包裹,package,bāo guǒ,141
渤海,the bohai sea,bó hǎi,142
触动,Touch,chù dòng,143
词典,Dictionary,cí diǎn,144
复合,reunite with,fù hé,145
国税,state tax,guó shuì,146
急性,acute,jí xìng,147
来宾,guest,lái bīn,148
联席会议,joint conference,lián xí huì yì,149
驱车,Driving,qū chē,150
诠释,annotation,quán shì,151
条子,note,tiáo zi,152
小鸟,Birds,xiǎo niǎo,153
学界,educational circles,xué jiè,154
规模化,Large scale,guī mó huà,155
僵,Stiff,jiāng,156
洁,clean,jié,157
首府,capital,shǒu fǔ,158
无罪,innocent,wú zuì,159
有幸,Fortunately,yǒu xìng,160
部件,parts,bù jiàn,161
单边,unilateral,dān biān,162
定居,settle,dìng jū,163
基建,Infrastructure,jī jiàn,164
继而,then,jì ér,165
切断,cut off,qiè duàn,166
凿,Chisel,záo,167
考评,Evaluation,kǎo píng,168
气力,strength,qì lì,169
强盗,robber,qiáng dào,170
驶,Driving,shǐ,171
大兴,Daxing,dà xīng,172
贩卖,Peddling,fàn mài,173
感想,What&apos;s your feeling?,gǎn xiǎng,174
刑警,criminal police,xíng jǐng,175
安危,safety,ān wēi,176
绸,silk,chóu,177
此人,This person,cǐ rén,178
法宝,Magic weapon,fǎ bǎo,179
感染力,appeal,gǎn rǎn lì,180
廉价,cheap,lián jià,181
为人,To be a man,wéi rén,182
文集,Anthology,wén jí,183
现今,nowadays,xiàn jīn,184
学士,bachelor,xué shì,185
照着,According to,zhào zhe,186
邦交,Diplomatic relations,bāng jiāo,187
不敌,No match,bù dí,188
长短,length,cháng duǎn,189
短波,shortwave,duǎn bō,190
缴获,Seizure,jiǎo huò,191
脉搏,pulse,mài bó,192
盘子,plate,pán zǐ,193
上交,hand in,shàng jiāo,194
投机,Speculation,tóu jī,195
毅力,will,yì lì,196
病虫害,Diseases and insect pests,bìng chóng hài,197
对准,aim,duì zhǔn,198
分级,classification,fēn jí,199
公德,Public morality,gōng dé,200
解剖,anatomy,jiě pōu,201
撩,flirt,liāo,202
炮兵,Artillery,pào bīng,203
篇幅,length,piān fú,204
诗句,verse,shī jù,205
忘掉,forget,wàng diào,206
行政区,Administrative Region,xíng zhèng qū,207
板凳,Bench,bǎn dèng,208
过节,Holiday,guò jié,209
好容易,It&apos;s so easy,hǎo róng yì,210
巨资,Huge sum of money,jù zī,211
首饰,jewelry,shǒu shì,212
掩护,cover,yǎn hù,213
长子,eldest son,zhǎng zǐ,214
只怕,I&apos;m afraid,zhī pà,215
别扭,Awkward,biè niu,216
杠杆,lever,gàng gǎn,217
高价,high price,gāo jià,218
侵入,invasion,qīn rù,219
坦诚,Be honest,tǎn chéng,220
要不然,otherwise,yào bu rán,221
何尝,Why,hé cháng,222
雷雨,thunderstorm,léi yǔ,223
平坦,flat,píng tǎn,224
伊斯兰教,Islamism,yī sī lán jiào,225
有线电视,Cable TV,yǒu xiàn diàn shì,226
肚皮,Belly,dù pí,227
愤慨,Indignation,fèn kǎi,228
可信,credible,kě xìn,229
冷却,cooling,lěng què,230
省,province,xǐng,231
报到,Check in,bào dào,232
歌词,lyric,gē cí,233
劈,split,pǐ,234
妖,Demon,yāo,235
张望,Look around,zhāng wàng,236
按摩,massage,àn mó,237
颤动,quiver,chàn dòng,238
根基,foundation,gēn jī,239
耕作,farming,gēng zuò,240
管家,housekeeper,guǎn jiā,241
画像,portrait,huà xiàng,242
入库,Warehousing,rù kù,243
庄重,Solemnity,zhuāng zhòng,244
气流,airflow,qì liú,245
画展,Art Exhibition,huà zhǎn,246
开头,start,kāi tóu,247
私利,Self interest,sī lì,248
鞋子,shoes,xié zǐ,249
压倒,Overwhelming,yā dǎo,250
涌动,Surging,yǒng dòng,251
地势,terrain,dì shì,252
高空,high altitude,gāo kōng,253
驾车,drive,jià chē,254
姐夫,Brother in law,jiě fu,255
求职,job wanted,qiú zhí,256
俗话说,it is said that,sú huà shuō,257
印度洋,the indian ocean,yìn dù yáng,258
不可思议,it is beyond logic and above reason,bù kě sī yì,259
不作声,Keep quiet,bù zuò shēng,260
河滩,River bank,hé tān,261
奖惩,Rewards and punishments,jiǎng chéng,262
精髓,quintessence,jīng suǐ,263
开关,switch,kāi guān,264
喜事,Happy event,xǐ shì,265
新式,of new style,xīn shì,266
乘机,Take the opportunity,chéng jī,267
重温,review,zhòng wēn,268
大西洋,Atlantic,dà xī yáng,269
地层,stratum,dì céng,270
间断,interrupted,jiàn duàn,271
解体,disintegrate,jiě tǐ,272
溶,dissolve,róng,273
突如其来,come unexpectedly,tū rú qí lái,274
着呢,What&apos;s the matter,zhe ne,275
主动权,Initiative,zhǔ dòng quán,276
专款,Special funds,zhuān kuǎn,277
承载,load bearing,chéng zài,278
纠,Correction,jiū,279
造假,Faking,zào jiǎ,280
渣,residue,zhā,281
扳,Pull,bān,282
后院,backyard,hòu yuàn,283
动画,animation,dòng huà,284
怪不得,no wonder,guài bu de,285
霍,Huo,huò,286
普遍性,universality,pǔ biàn xìng,287
墙角,corner,qiáng jiǎo,288
受命,Take orders,shòu mìng,289
威风,Prestige,wēi fēng,290
义军,volunteer army,yì jūn,291
不屑,Disdain,bù xiè,292
工商联,Federation of industry and Commerce,gōng shāng lián,293
姑母,aunt,gū mǔ,294
年头儿,long times,nián tóu er,295
扭头,Turn around,niǔ tóu,296
陪伴,accompany,péi bàn,297
前辈,senior,qián bèi,298
伊始,beginning,yī shǐ,299
值钱,valuable,zhí qián,300
凹,concave,āo,301
大喜,Great joy,dà xǐ,302
电动,Electric,diàn dòng,303
工农,Workers and peasants,gōng nóng,304
护照,passport,hù zhào,305
饮用,Drinking,yǐn yòng,306
油菜,rape,yóu cài,307
纵深,depth,zòng shēn,308
茎,stem,jīng,309
被窝儿,Bedclothes,bèi wō er,310
定向,directional,dìng xiàng,311
发泄,vent,fā xiè,312
宫廷,court,gōng tíng,313
情不自禁,be overcome by one &apos;s feelings,qíng bù zì jīn,314
要点,main points,yào diǎn,315
一并,Together,yī bìng,316
照亮,shine,zhào liàng,317
初衷,original intention,chū zhōng,318
弹药,ammunition,dàn yào,319
气概,Spirit,qì gài,320
舔,lick,tiǎn,321
无序,disorder,wú xù,322
小雪,light snow,xiǎo xuě,323
致命,deadly,zhì mìng,324
编导,Director,biān dǎo,325
铲,shovel,chǎn,326
单方面,unilateral,dān fāng miàn,327
电子邮件,E-mail,diàn zǐ yóu jiàn,328
堆积,Accumulation,duī jī,329
含笑,with smile,hán xiào,330
嫉妒,envy,jí dù,331
经纪人,agent,jīng jì rén,332
就读,attend school,jiù dú,333
培植,Cultivation,péi zhí,334
涉案,"involved ",shè àn,335
首领,chief,shǒu lǐng,336
探望,visit,tàn wàng,337
镶,Inlay,xiāng,338
活性,activity,huó xìng,339
客体,object,kè tǐ,340
沉痛,Deep pain,chén tòng,341
成天,All day long,chéng tiān,342
缚,Binding,fù,343
后世,later ages,hòu shì,344
晋升,Promotion,jìn shēng,345
精通,master,jīng tōng,346
美感,Aesthetic feeling,měi gǎn,347
奶粉,Powdered Milk,nǎi fěn,348
文化馆,Cultural Center,wén huà guǎn,349
放手,let go,fàng shǒu,350
孵化,hatch,fū huà,351
施政,Administration,shī zhèng,352
鲜红,Bright red,xiān hóng,353
琢磨,Ponder over,zhuó mo,354
天文台,observatory,tiān wén tái,355
国策,national policy,guó cè,356
偏差,deviation,piān chā,357
