phrase,en,pronunciation,id
绝境,Desperate situation,jué jìng,0
老婆婆,mother-in-law,lǎo pó pó,1
莫如,No such as,mò rú,2
牛车,Bullock cart,niú chē,3
神父,priest,shén fu,4
甚为,very,shèn wéi,5
示弱,Show weakness,shì ruò,6
贴心人,close friend,tiē xīn rén,7
听命,At your command,tīng mìng,8
外运,outward transport,wài yùn,9
污浊,Filth,wū zhuó,10
向背,To the back,xiàng bèi,11
谢恩,Thank you,xiè ēn,12
心智,Mind,xīn zhì,13
巡演,Tour,xún yǎn,14
严于律己,Be strict with yourself,yán yú lv4 jǐ,15
养子,Adopted son,yǎng zǐ,16
把儿,handle,bǎ ér,17
德高望重,be of noble character and high prestige,dé gāo wàng zhòng,18
低调,low-key,dī diào,19
奋不顾身,to forget about one &apos;s own,fèn bù gù shēn,20
高僧,eminent monk,gāo sēng,21
过意不去,I&apos;m sorry,guò yì bù qù,22
海盗,pirate,hǎi dào,23
耗尽,Exhaustion,hào jìn,24
合办,Jointly organized,hé bàn,25
候车室,Waiting Room,hòu chē shì,26
坏话,Bad words,huài huà,27
幻影,phantom,huàn yǐng,28
据实,According to the facts,jù shí,29
灵动,Smart,líng dòng,30
流放,exile,liú fàng,31
旅游团,tourist group,lv3 yóu tuán,32
哪样,Which,nǎ yàng,33
奴仆,slave servant,nú pú,34
喷嚏,Sneezing,pēn tì,35
批驳,Refute,pī bó,36
偏袒,Partiality,piān tǎn,37
企鹅,penguin,qǐ é,38
气急,Shortness of breath,qì jí,39
侨民,Overseas Chinese,qiáo mín,40
身先士卒,be in the van of one &apos;s officers and men,shēn xiān shì zú,41
手足无措,have no idea what to do with one &apos;s hands and feet,shǒu zú wú cuò,42
受体,recipient,shòu tǐ,43
双胞胎,Horse hooves,shuāng bāo tāi,44
谈天,Chatting,tán tiān,45
逃逸,escape,táo yì,46
听闻,Heard,tīng wén,47
王储,crown prince,wáng chǔ,48
香菇,mushrooms,xiāng gū,49
野性,Wildness,yě xìng,50
胰岛素,insulin,yí dǎo sù,51
引擎,engine,yǐn qíng,52
用劲,Work hard,yòng jìn,53
臧,Zang,zāng,54
辩驳,Refute,biàn bó,55
长方,Rectangle,cháng fāng,56
得志,Success,dé zhì,57
低俗,vulgar,dī sú,58
敌方,enemy,dí fāng,59
敌情,enemy &apos;s situation,dí qíng,60
刁难,Create difficulties,diāo nàn,61
焚毁,Burn down,fén huǐ,62
羔羊,lamb,gāo yáng,63
挂念,Miss,guà niàn,64
国境,frontier,guó jìng,65
候车,Waiting for the bus,hòu chē,66
巨著,Great works,jù zhù,67
领海,territorial waters,lǐng hǎi,68
蛮横,Insolence,mán hèng,69
岂可,how could?,qǐ kě,70
气呼呼,Exhale,qì hū hū,71
驱逐舰,destroyer,qū zhú jiàn,72
熔化,melt,róng huà,73
上流,Upper class,shàng liú,74
失火,catch fire,shī huǒ,75
示意图,Sketch Map,shì yì tú,76
手笔,Handwriting,shǒu bǐ,77
书呆子,bookworm,shū dāi zǐ,78
台灯,Desk lamp,tái dēng,79
特异,Special,tè yì,80
题名,title,tí míng,81
温顺,Meekness,wēn shùn,82
箫,Xiao,xiāo,83
遗漏,Omission,yí lòu,84
月报,Monthly report,yuè bào,85
章法,Composition,zhāng fǎ,86
做买卖,Do business,zuò mǎi mài,87
白细胞,white blood cell,bái xì bāo,88
暴风雪,snowstorm,bào fēng xuě,89
北非,North Africa,běi fēi,90
标注,tagging,biāo zhù,91
捕杀,Hunting and killing,bǔ shā,92
车头,The front of the car,chē tóu,93
沉溺,Indulgence,chén nì,94
吹嘘,Bragging,chuī xū,95
大手笔,Big deal,dà shǒu bǐ,96
当夜,same night,dāng yè,97
翻腾,Tumbling,fān téng,98
副本,copy,fù běn,99
厚爱,Love,hòu ài,100
护航,escort,hù háng,101
活计,Work,huó ji,102
激愤,Indignation,jī fèn,103
脊髓,spinal cord,jǐ suǐ,104
精打细算,be very careful in reckoning,jīng dǎ xì suàn,105
军帽,service cap,jūn mào,106
零钱,small change,líng qián,107
藐视,despise,miǎo shì,108
木炭,charcoal,mù tàn,109
内资,domestic investment,nèi zī,110
千姿百态,in different poses and with different expressions,qiān zī bǎi tài,111
清冷,Cool,qīng lěng,112
全貌,Panorama,quán mào,113
溶化,Melting,róng huà,114
世故,Sophistication,shì gu,115
守恒,conservation,shǒu héng,116
同龄,Same age,tóng líng,117
晚稻,late rice,wǎn dào,118
违犯,Violation,wéi fàn,119
武将,General,wǔ jiàng,120
叙说,Narration,xù shuō,121
血泪,tears of blood,xuè lèi,122
一氧化碳,carbon monoxide,yī yǎng huà tàn,123
异军突起,a new force suddenly rises,yì jūn tū qǐ,124
有章可循,Rules to follow,yǒu zhāng kě xún,125
渔村,fishing village,yú cūn,126
预留,reserve,yù liú,127
砖瓦,Brick and tile,zhuān wǎ,128
惨叫,Scream,cǎn jiào,129
磁力,magnetic force,cí lì,130
地界,Boundary,dì jiè,131
电表,watt-hour meter,diàn biǎo,132
额角,Frontal horn,é jiǎo,133
翻来覆去,toss about,fān lái fù qù,134
抚摩,Caress,fǔ mó,135
横扫,Sweeping,héng sǎo,136
回娘家,Back to my mother&apos;s house,huí niáng jia,137
会聚,convergence,huì jù,138
伙同,Collusion,huǒ tóng,139
警卫员,Security guard,jǐng wèi yuán,140
竞价,Bidding,jìng jià,141
拘捕,arrest,jū bǔ,142
开外,Kaiwai,kāi wài,143
矿难,mine disarster,kuàng nán,144
牟利,Profit making,móu lì,145
谋利,Profit seeking,móu lì,146
努,Nu,nǔ,147
偏颇,biased,piān pō,148
榕树,banyan,róng shù,149
忘怀,Forget,wàng huái,150
未婚妻,fiancee,wèi hūn qī,151
文化人,professional in an and literature,wén huà rén,152
无妨,No harm,wú fáng,153
下月,next month,xià yuè,154
兴师,Developing teachers,xīng shī,155
兴修,Construction,xīng xiū,156
血汗钱,money earned by hard toil,xuè hàn qián,157
谣,Rumor,yáo,158
野战军,Field army,yě zhàn jūn,159
夜深人静,all is quiet at dead of night,yè shēn rén jìng,160
这么些,So much,zhè me xiē,161
侦察员,Scout,zhēn chá yuán,162
指挥家,conductor,zhǐ huī jiā,163
子系统,Subsystem,zǐ xì tǒng,164
自用,Self use,zì yòng,165
案犯,Criminal,àn fàn,166
惨烈,tragic,cǎn liè,167
策马,Galloping,cè mǎ,168
趁势,Take advantage of the situation,chèn shì,169
重围,Encirclement,chóng wéi,170
出笼,Come out,chū lóng,171
处方药,prescription,chǔ fāng yào,172
垂钓,go fishing,chuí diào,173
方向盘,Steering wheel,fāng xiàng pán,174
分店,Branch,fēn diàn,175
戈壁滩,Gobi,gē bì tān,176
光大,Everbright,guāng dà,177
河山,Rivers and mountains,hé shān,178
轰然,Roar,hōng rán,179
花布,Calico,huā bù,180
混合泳,Medley,hùn hé yǒng,181
届满,expiration,jiè mǎn,182
考官,examiner,kǎo guān,183
课业,Schoolwork,kè yè,184
敛财,Amassing wealth,liǎn cái,185
垄,ridge,lǒng,186
芦花,Reed catkins,lú huā,187
轮回,Reincarnation,lún huí,188
明白人,Understanding people,míng bái rén,189
盆子,Basin,pén zǐ,190
情妇,mistress,qíng fù,191
赛跑,race,sài pǎo,192
示众,Make a public appearance,shì zhòng,193
室温,room temperature,shì wēn,194
挑拨,Instigate,tiǎo bō,195
跳槽,Job hopping,tiào cáo,196
突突,Abrupt,tū tū,197
污泥,sludge,wū ní,198
学以致用,learn in order to practise,xué yǐ zhì yòng,199
雪峰,Xuefeng,xuě fēng,200
鸦雀无声,in perfect silence,yā què wú shēng,201
运动场,playing field,yùn dòng chǎng,202
张榜,Zhang Bang,zhāng bǎng,203
致残,cause disability,zhì cán,204
主事,be in charge,zhǔ shì,205
总路线,General route,zǒng lù xiàn,206
