phrase,en,pronunciation,id
耍把戏,Playing tricks,shuǎ bǎ xì,0
双重人格,Dual personality,shuāng chóng rén gé,1
霜叶,Frost leaf,shuāng yè,2
水晶石,Crystal stone,shuǐ jīng shí,3
水涝,Waterlogging,shuǐ lào,4
水暖工,plumber,shuǐ nuǎn gōng,5
水疱,Blister,shuǐ pào,6
水纹,Watermarks,shuǐ wén,7
水葬,Water burial,shuǐ zàng,8
顺服,Obedience,shùn fú,9
思考题,Thinking questions,sī kǎo tí,10
死棋,Death game,sǐ qí,11
死钱,Dead money,sǐ qián,12
四近,Four near,sì jìn,13
送呈,Submit,sòng chéng,14
酸胀,Acid swelling,suān zhàng,15
贪求,Greedy,tān qiú,16
逃席,Skip the seat,táo xí,17
套袖,Sleeve,tào xiù,18
特遣部队,Task force,tè qiǎn bù duì,19
提词,A libretto,tí cí,20
提手,Handle,tí shǒu,21
恬适,Tranquility,tián shì,22
调级,adjust a wage scale,tiáo jí,23
调弄,Teasing,tiáo nòng,24
童女,virgin,tóng nv3,25
童山,Tongshan,tóng shān,26
头油,Head oil,tóu yóu,27
推见,Recommendation,tuī jiàn,28
托身,seek a living,tuō shēn,29
婉劝,Persuasion,wǎn quàn,30
万户侯,Wanhuhou,wàn hù hóu,31
万事亨通,everything goes well and smoothly,wàn shì hēng tōng,32
万事俱备，只欠东风,Everything is ready but the east wind,wàn shì jù bèi zhǐ qiàn dōng fēng,33
万死不辞,shrink from no sacrifice,wàn sǐ bù cí,34
王水,Aqua regia,wáng shuǐ,35
萎黄,Chlorosis,wěi huáng,36
卫道士,The guardian,wèi dào shì,37
文化沙漠,cultural desert,wén huà shā mò,38
文员,Clerk,wén yuán,39
无所措手足,not knowing what to do,wú suǒ cuò shǒu zú,40
无烟工业,Smokeless industry,wú yān gōng yè,41
无以为报,Nothing in return,wú yǐ wéi bào,42
狎昵,Intimacy,xiá nì,43
下塌,Collapse,xià tā,44
贤哲,Sage,xián zhé,45
县界,county boundaries,xiàn jiè,46
陷身,Entrapment,xiàn shēn,47
乡邮,Rural post,xiāng yóu,48
详解,Detailed explanation,xiáng jiě,49
消蚀,Erosion,xiāo shí,50
小报告,Little report,xiǎo bào gào,51
小影,Little shadow,xiǎo yǐng,52
校官,School Official,xiào guān,53
薪给,salary,xīn jǐ,54
行抢,To rob,xíng qiǎng,55
熊罴,fierce fighters,xióng pí,56
羞人,bashful,xiū rén,57
虚悬,In vain,xū xuán,58
叙别,have a farewell talk,xù bié,59
蓄发,wear one &apos;s hair long,xù fā,60
悬想,Suspense,xuán xiǎng,61
旋转餐厅,revolving restaurant,xuán zhuǎn cān tīng,62
学究气,Pedantic,xué jiū qì,63
雪恨,Snow hate,xuě hèn,64
巡弋,Cruising,xún yì,65
严肃音乐,Serious music,yán sù yīn yuè,66
仰承,Look up to,yǎng chéng,67
养廉,nourish honesty—refrain from squeeze and graft,yǎng lián,68
夜阑,The end of the night,yè lán,69
一时半刻,for a little while,yī shí bàn kè,70
一字千金,a single word of gold,yī zì qiān jīn,71
贻患,Pernicious,yí huàn,72
义齿,denture or false teeth,yì chǐ,73
艺妓,geisha,yì jì,74
音变,Sound change,yīn biàn,75
音乐茶座,Music tea house,yīn yuè chá zuò,76
银杉,Cathaya argyrophylla,yín shā,77
印刻,Printing and engraving,yìn kè,78
萦怀,Lingering,yíng huái,79
影帝,movie king,yǐng dì,80
幽冥,The nether world,yōu míng,81
邮亭,Post Office,yóu tíng,82
油乎乎,greasy,yóu hū hū,83
有门儿,There is a way,yǒu mén er,84
预决算,Budget and final accounts,yù jué suàn,85
援用,Invoking,yuán yòng,86
月钱,monthly allowances,yuè qian,87
云消雾散,the clouds melt and the mists disperse,yún xiāo wù sàn,88
云蒸霞蔚,The rosy clouds are slowly rising,yún zhēng xiá wèi,89
蕴意,"implications ",yùn yì,90
脏活儿,Dirty work,zāng huó ér,91
藏香,Tibetan incense,zàng xiāng,92
宅地,Homestead,zhái dì,93
掌嘴,Palm mouth,zhǎng zuǐ,94
照墙,screen wall facing the gate of a house,zhào qiáng,95
争战,War,zhēng zhàn,96
正骨,Bonesetting,zhèng gǔ,97
脂肪瘤,lipoma,zhī fáng liú,98
直尺,ruler,zhí chǐ,99
炙热,scorching hot,zhì rè,100
掷弹筒,Catapult,zhì dàn tǒng,101
中频,intermediate frequency,zhōng pín,102
重荷,Heavy load,zhòng hé,103
重听,Hard of hearing,zhòng tīng,104
珠宝商,jewelry dealer,zhū bǎo shāng,105
主裁,act as referee,zhǔ cái,106
装傻充愣,act dumb,zhuāng shǎ chōng lèng,107
趑趄,To make a mistake,zī jū,108
子堤,Zidi,zǐ dī,109
自己人,My own people,zì jǐ rén,110
字母表,alphabet,zì mǔ biǎo,111
总合,Sum up,zǒng hé,112
租约,lease,zū yuē,113
左袒,On the left,zuǒ tǎn,114
坐班房,Take a class room,zuò bān fáng,115
暗扣儿,Hidden button,àn kòu ér,116
奥援,Olympic aid,ào yuán,117
跋文,postscript,bá wén,118
把舵,Take the helm,bǎ duò,119
拜官,Worship officials,bài guān,120
板脸,Banmian,bǎn liǎn,121
板油,Suet,bǎn yóu,122
板滞,Inflexibility,bǎn zhì,123
饱胀,Fullness,bǎo zhàng,124
宝贝疙瘩,baby,bǎo bèi gē da,125
备置,Preparation,bèi zhì,126
比翼鸟,Bipedal bird,bǐ yì niǎo,127
笔底下,Under the pen,bǐ dǐ xia,128
笔译,written translation,bǐ yì,129
鳊鱼,Bream,biān yú,130
变声,change of voice,biàn shēng,131
兵痞,Soldier ruffian,bīng pǐ,132
病象,Symptom,bìng xiàng,133
不等式,Inequality,bù děng shì,134
擦边,touch the edge,cā biān,135
采运,Mining and transportation,cǎi yùn,136
彩釉,Colored glaze,cǎi yòu,137
操典,drill manual,cāo diǎn,138
草灰,Grass ash,cǎo huī,139
草字头,grass radical,cǎo zì tóu,140
侧室,Lateral chamber,cè shì,141
侧枝,lateral branch,cè zhī,142
测速,velocity measurement,cè sù,143
插班生,Cut in students,chā bān shēng,144
插孔,Jack,chā kǒng,145
蟾宫,Toad Palace,chán gōng,146
鲳鱼,Pomfret,chāng yú,147
长性,perseverance,cháng xìng,148
敞车,Gondola,chǎng chē,149
潮汛,spring tide,cháo xùn,150
撤防,Withdraw,chè fáng,151
吃闭门羹,Shut the door,chī bì mén gēng,152
吃干饭,Eat dry rice,chī gān fàn,153
吃重,Heavy eating,chī zhòng,154
池沼,Pool and marsh,chí zhǎo,155
彳亍,Acceleration,chì chù,156
重峦叠嶂,range upon range of mountains,chóng luán dié zhàng,157
出亡,Run away,chū wáng,158
雏妓,child prostitute,chú jì,159
穿甲弹,Armor piercing bullet,chuān jiǎ dàn,160
船位,ship &apos;s position,chuán wèi,161
串供,Collusion,chuàn gòng,162
春景,Spring scenery,chūn jǐng,163
词频,word frequency,cí pín,164
刺参,Sea cucumber,cì cān,165
脆嫩,tender and crisp,cuì nèn,166
打卤面,noodles with gravy,dǎ lǔ miàn,167
打埋伏,Ambush,dǎ mái fu,168
打气筒,tyre pump,dǎ qì tǒng,169
大面儿,Big face,dà miàn er,170
大秋,Autumn,dà qiū,171
大尉,Captain,dà wèi,172
单元楼,Unit building,dān yuán lóu,173
当日,same day,dāng rì,174
倒阁,Overthrow the cabinet,dǎo gé,175
得其所哉,have got to the right place,dé qí suǒ zāi,176
敌酋,Enemy chieftain,dí qiú,177
抵补,Offset,dǐ bǔ,178
地灵人杰,a remarkable place produces outstanding people,dì líng rén jié,179
地窨子,Diyinzi,dì yìn zi,180
点种,Seed order,diǎn zhòng,181
电唱机,Record player,diàn chàng jī,182
电疗,Electrotherapy,diàn liáo,183
调包,Transfer,diào bāo,184
掉包,Switch,diào bāo,185
定销,Fixed sales,dìng xiāo,186
定影,Fixing,dìng yǐng,187
定准,Set,dìng zhǔn,188
丢三落四,miss this and that,diū sān là sì,189
丢卒保车,lose a pawn to save a castle,diū zú bǎo jū,190
冬寒,Cold in winter,dōng hán,191
冻冰,Frozen ice,dòng bīng,192
毒菌,Virulent bacteria,dú jūn,193
毒焰,Poisonous flame,dú yàn,194
蠹虫,moth,dù chóng,195
端重,sober,duān zhòng,196
多吃多占,Eat more and occupy more,duō chī duō zhàn,197
鹅毛扇,goose-feather fan,é máo shàn,198
耳报神,spy who reports on person &apos;s doings,ěr bào shén,199
二花脸,Erhualian,èr huā liǎn,200
翻斗车,Tipper,fān dǒu chē,201
